ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.892.814.776.170,CcpNyW2hM7ew2fJYkd,192.168.0.66,39160,192.168.0.4,5101,tcp,-,2.047.012,0,0,S0,T,T,0,S,3,180,0,0,-
1.726.892.814.776.180,ClBCRh2VS9ETIZDUPb,192.168.0.66,38848,192.168.0.4,3369,tcp,-,1.022.978,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.915.500,Ce0vlM1MXpGkX4bd0k,192.168.0.66,60206,192.168.0.4,9535,tcp,-,1.011.641,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.917.480,CFTinCOMTZLCgl5X4,192.168.0.66,56828,192.168.0.4,1687,tcp,-,1.009.662,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.917.480,CSez2b120hv4PAGUd1,192.168.0.66,56770,192.168.0.4,5080,tcp,-,1.009.656,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.927.360,CLs9pr3fjlGqEZSrj7,192.168.0.66,39994,192.168.0.4,2608,tcp,-,1.063.966,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.927.360,Ciy7Vq3ar4IXU79KS4,192.168.0.66,34696,192.168.0.4,63331,tcp,-,1.063.963,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.927.360,Ct9gcI3ZtmnG4qsYT9,192.168.0.66,46856,192.168.0.4,49154,tcp,-,1.063.961,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.927.580,CY4OG74q5mI3MTpZ01,192.168.0.66,42296,192.168.0.4,6002,tcp,-,1.063.749,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.927.580,C7tZVv4mKUUSfDY21j,192.168.0.66,35220,192.168.0.4,1094,tcp,-,1.063.747,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.927.580,CsQ0TS1zh2fYkFTDHh,192.168.0.66,53748,192.168.0.4,5811,tcp,-,1.063.745,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.927.730,CpjoUYtbxvCTzP7vb,192.168.0.66,41370,192.168.0.4,515,tcp,-,1.063.589,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.927.820,CDf89JNTgA5fYPsOi,192.168.0.66,33358,192.168.0.4,5906,tcp,-,1.063.505,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.927.820,CfgbLt4D7dl7M7dFCd,192.168.0.66,44980,192.168.0.4,1187,tcp,-,1.063.191,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.928.040,C1AVqw3xPoVrmUpFha,192.168.0.66,39540,192.168.0.4,1521,tcp,-,1.062.971,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.928.040,CgVPJZ3696CLPNlQg6,192.168.0.66,34872,192.168.0.4,1053,tcp,-,1.062.967,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.928.040,CxuYXSI4yoseB5uCh,192.168.0.66,35912,192.168.0.4,1309,tcp,-,1.062.965,0,0,S0,T,T,0,S,2,120,0,0,-
