ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.891.581.209.330,CN2fDW3bVzKSOCLRgf,192.168.0.66,35073,192.168.0.4,6006,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.340,CiUaJa4LqTejz4m9t1,192.168.0.66,35073,192.168.0.4,1040,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.620,CIzDJowQcGfYyW7L3,192.168.0.66,35073,192.168.0.4,19,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.630,CdJMe5bNfvpMbr4a,192.168.0.66,35073,192.168.0.4,1057,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.630,CXG86a4GaATGjbxAWd,192.168.0.66,35073,192.168.0.4,52848,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.630,CErscm4SLApTm4Rfsk,192.168.0.66,35073,192.168.0.4,1805,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.630,CUozFP3tgb5764Obe,192.168.0.66,35073,192.168.0.4,1,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.630,CfshLp4eYVWiEQEpt1,192.168.0.66,35073,192.168.0.4,8021,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.630,C1ckRG1zQVMJFU9Aih,192.168.0.66,35073,192.168.0.4,49158,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.630,C7v9IVBU3MaE56sQ8,192.168.0.66,35073,192.168.0.4,1124,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.830,CWT3aQ5NFB7AAaWBg,192.168.0.66,35073,192.168.0.4,10025,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.830,CSB6Hu3V40vPw0ajx8,192.168.0.66,35073,192.168.0.4,4003,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.830,CZIB5z3KwZrxAMnR1a,192.168.0.66,35073,192.168.0.4,5822,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.211.840,Cvh6yS1mkhqZ8RZPKg,192.168.0.66,35075,192.168.0.4,80,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.309.910,CbzsSe4THbXwH02Mvd,192.168.0.66,35075,192.168.0.4,5822,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.309.920,C1IsEW3kgHKlvCBb0l,192.168.0.66,35075,192.168.0.4,4003,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.309.920,CKCpTP1mLWvroaenV4,192.168.0.66,35075,192.168.0.4,10025,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.309.920,CnYWWG2nHT6HJlFyTb,192.168.0.66,35075,192.168.0.4,1124,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.309.920,CKF6KL1My5oKezvz8f,192.168.0.66,35075,192.168.0.4,49158,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
