ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.892.919.215.510,CaJzFM1lOcVvkUip0e,192.168.0.66,39738,192.168.0.4,207,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.920.267.570,CJev9nH9CM7y1YnU6,192.168.0.66,39740,192.168.0.4,207,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.920.318.040,COKesg1UqU8T8QYRPi,192.168.0.66,39742,192.168.0.4,515,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.920.368.520,CLtTH34oOdRnqaYQW6,192.168.0.66,39736,192.168.0.4,32775,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.920.418.970,C6VOOI1ZFJcD3jeN7d,192.168.0.66,39736,192.168.0.4,21524,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.920.469.660,CI01w12YruUNQcDJPi,192.168.0.66,39738,192.168.0.4,32775,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.920.520.170,CQoJTh1IrDPp3XFoei,192.168.0.66,39738,192.168.0.4,21524,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.920.570.270,CvHHei3iOJiIH3NVP5,192.168.0.66,39740,192.168.0.4,32775,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.920.620.520,C5vj3w3Z1AOPiwBBb2,192.168.0.66,39740,192.168.0.4,21524,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.920.671.020,CuxLr54YpcLMVoQsaa,192.168.0.66,39742,192.168.0.4,32775,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.920.721.140,Co1BN31V30DxTfhj3j,192.168.0.66,39742,192.168.0.4,21524,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.920.771.640,CGYLnt1VgNMPts2lxb,192.168.0.66,39736,192.168.0.4,52503,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
